Naam,Team,Prijs
Mikel Bizkarra,Euskaltel - Euskadi,€2M
Joren Bloem,Unibet Rose Rockets,€2M
William Blume Levy,Uno-X Mobility,€2M
Sam Boardman,Modern Adventure Pro Cycling,€2M
Adrien Boichis,Red Bull - BORA - hansgrohe,€2M
Guillaume Boivin,NSN Cycling Team,€2M
Thomas Bonnet,Team TotalEnergies,€2M
Kamiel Bonneu,Solution Tech-NIPPO-Rali,€2M
Alessandro Borgo,Bahrain - Victorious,€2M
Joan Bou,Caja Rural - Seguros RGA,€2M
Geoffrey Bouchard,Team TotalEnergies,€2M
Georgios Bouglas,Burgos Burpellet BH,€2M
Rayan Boulahoite,Team TotalEnergies,€2M
Lewis Bower,Groupama - FDJ United,€2M
Diego Bracalente,MBH Bank CSB Telecom Fort,€2M
Sam Brand,Team Novo Nordisk,€2M
Clément Braz Afonso,Groupama - FDJ United,€2M
Nicolas Breuillard,Team TotalEnergies,€2M
Marc Brustenga,Equipo Kern Pharma,€2M
Alberto Bruttomesso,Bahrain - Victorious,€2M
Marcin Budzinski,MBH Bank CSB Telecom Fort,€2M
Nicolò Buratti,MBH Bank CSB Telecom Fort,€2M
Josh Burnett,Burgos Burpellet BH,€2M
Aidan Buttigieg,Team Polti VisitMalta,€2M
Sven Erik Bystrøm,Uno-X Mobility,€2M
Walter Calzoni,Pinarello - Q36.5 Pro Cycling,€2M
Marcel Camprubí,Pinarello - Q36.5 Pro Cycling,€2M
Robin Carpenter,Modern Adventure Pro Cycling,€2M
Simon Carr,Cofidis,€2M
Pablo Carrascosa,Equipo Kern Pharma,€2M
Jan Castellón,Caja Rural - Seguros RGA,€2M
Ezra Caudell,Modern Adventure Pro Cycling,€2M
Daniel Cavia,Burgos Burpellet BH,€2M
Filippo Cettolin,Bardiani-CSF 7 Saber,€2M
Oscar Chamberlain,Decathlon CMA CGM Team,€2M
Anthon Charmig,Uno-X Mobility,€2M
Camille Charret,Cofidis,€2M
Cesare Chesini,MBH Bank CSB Telecom Fort,€2M
Sean Christian,Modern Adventure Pro Cycling,€2M
Cedrik Christophersen,Unibet Rose Rockets,€2M
Sergio Chumil,Burgos Burpellet BH,€2M
Edoardo Cipollini,MBH Bank CSB Telecom Fort,€2M
Iván Cobo,Equipo Kern Pharma,€2M
Jacopo Colladon,Team Novo Nordisk,€2M
Luca Colnaghi,Bardiani-CSF 7 Saber,€2M
Nicola Conci,XDS Astana Team,€2M
Lorenzo Conforti,Bardiani-CSF 7 Saber,€2M
Valerio Conti,Solution Tech-NIPPO-Rali,€2M
Michiel Coppens,BEAT Cycling Club,€2M
Dillon Corkery,Team Picnic PostNL,€2M
Gorka Corres,Caja Rural - Seguros RGA,€2M
Pier-André Côté,NSN Cycling Team,€2M
Luca Covili,Bardiani-CSF 7 Saber,€2M
Lars Craps,Lotto-Intermarché,€2M
Ludovico Crescioli,Team Polti VisitMalta,€2M
Luca Cretti,MBH Bank CSB Telecom Fort,€2M
Fabrizio German Crozzolo,Team Polti VisitMalta,€2M
Edward Cruz,Bardiani-CSF 7 Saber,€2M
Simon Dalby,Uno-X Mobility,€2M
Sergi Darder,Caja Rural - Seguros RGA,€2M
Lucas Daugé,Team Novo Nordisk,€2M
Florian Dauphin,Team TotalEnergies,€2M
Nicolas Debeaumarché,Cofidis,€2M
Stefan de Bod,Modern Adventure Pro Cycling,€2M
Jasper De Buyst,Lotto-Intermarché,€2M
Maxime Decomble,Groupama - FDJ United,€2M
Quinten De Graeve,Team Novo Nordisk,€2M
Timo de Jong,Team Picnic PostNL,€2M
Hugo De La Calle,Burgos Burpellet BH,€2M
Joris Delbove,Team TotalEnergies,€2M
Brem Deman,Team Flanders - Baloise,€2M
Tuur Dens,Team Flanders - Baloise,€2M
Sander De Pestel,Decathlon CMA CGM Team,€2M
Dries De Pooter,Team Jayco AlUla,€2M
Davide De Pretto,Team Jayco AlUla,€2M
Hartthijs de Vries,Unibet Rose Rockets,€2M
Lindsay De Vylder,Alpecin - Premier Tech,€2M
Siebe Deweirdt,Team Flanders - Baloise,€2M
Robbe Dhondt,Team Picnic PostNL,€2M
Alex Díaz,Caja Rural - Seguros RGA,€2M
Márton Dina,MBH Bank CSB Telecom Fort,€2M
Matt Dinham,Team Picnic PostNL,€2M
Bram Dissel,BEAT Cycling Club,€2M
Aaron Dockx,Alpecin - Premier Tech,€2M
Robert Donaldson,Team Jayco AlUla,€2M
Tom Donnenwirth,Groupama - FDJ United,€2M
Mark Donovan,Pinarello - Q36.5 Pro Cycling,€2M
Robin Donzé,Tudor Pro Cycling Team,€2M
